net,wires
"(6, 8)","[(12, 10, 0), (12, 9, 0)]"
"(16, 22)","[(2, 4, 0), (2, 3, 0), (2, 2, 0)]"
"(14, 19)","[(13, 5, 0), (12, 5, 0), (11, 5, 0), (11, 4, 0)]"
"(4, 6)","[(15, 11, 0), (14, 11, 0), (13, 11, 0), (12, 11, 0), (12, 10, 0)]"
"(11, 5)","[(4, 7, 0), (3, 7, 0), (3, 8, 0), (3, 9, 0), (3, 10, 0)]"
"(2, 1)","[(6, 11, 0), (5, 11, 0), (4, 11, 0), (3, 11, 0), (2, 11, 0), (1, 11, 0)]"
"(8, 14)","[(12, 9, 0), (12, 8, 0), (12, 7, 0), (12, 6, 0), (13, 6, 0), (13, 5, 0)]"
"(23, 17)","[(9, 2, 0), (8, 2, 0), (7, 2, 0), (6, 2, 0), (6, 3, 0), (6, 4, 0)]"
"(23, 14)","[(9, 2, 0), (9, 3, 0), (10, 3, 0), (11, 3, 0), (12, 3, 0), (12, 4, 0), (13, 4, 0), (13, 5, 0)]"
"(16, 18)","[(2, 4, 0), (3, 4, 0), (4, 4, 0), (5, 4, 0), (5, 5, 0), (6, 5, 0), (7, 5, 0), (7, 4, 0), (8, 4, 0), (9, 4, 0)]"
"(21, 11)","[(1, 3, 0), (1, 4, 0), (1, 5, 0), (1, 6, 0), (2, 6, 0), (3, 6, 0), (4, 6, 0), (4, 7, 0)]"
"(23, 12)","[(9, 2, 0), (10, 2, 0), (11, 2, 0), (11, 2, 1), (11, 3, 1), (11, 4, 1), (11, 5, 1), (11, 6, 1), (11, 7, 1), (11, 7, 0)]"
"(12, 25)","[(11, 7, 0), (11, 6, 0), (10, 6, 0), (10, 5, 0), (10, 4, 0), (10, 4, 1), (10, 3, 1), (10, 2, 1), (10, 1, 1), (11, 1, 1), (12, 1, 1), (12, 1, 0)]"
"(7, 15)","[(14, 10, 0), (14, 9, 0), (14, 8, 0), (14, 7, 0), (14, 6, 0), (14, 5, 0), (15, 5, 0), (16, 5, 0)]"
"(17, 10)","[(6, 4, 0), (6, 4, 1), (5, 4, 1), (4, 4, 1), (3, 4, 1), (2, 4, 1), (1, 4, 1), (1, 5, 1), (1, 6, 1), (1, 7, 1), (1, 7, 0)]"
"(20, 6)","[(15, 4, 0), (14, 4, 0), (14, 4, 1), (13, 4, 1), (12, 4, 1), (12, 5, 1), (12, 6, 1), (12, 7, 1), (12, 8, 1), (12, 9, 1), (12, 10, 1), (12, 10, 0)]"
"(16, 9)","[(2, 4, 0), (2, 5, 0), (3, 5, 0), (4, 5, 0), (4, 5, 1), (4, 6, 1), (4, 7, 1), (4, 8, 1), (5, 8, 1), (6, 8, 1), (7, 8, 1), (8, 8, 1), (8, 8, 0)]"
"(11, 8)","[(4, 7, 0), (4, 8, 0), (4, 9, 0), (5, 9, 0), (6, 9, 0), (7, 9, 0), (8, 9, 0), (9, 9, 0), (10, 9, 0), (11, 9, 0), (12, 9, 0)]"
"(24, 5)","[(1, 1, 0), (2, 1, 0), (3, 1, 0), (3, 2, 0), (3, 3, 0), (3, 3, 1), (3, 3, 2), (3, 4, 2), (3, 5, 2), (3, 6, 2), (3, 7, 2), (3, 8, 2), (3, 9, 2), (3, 10, 2), (3, 10, 1), (3, 10, 0)]"
"(20, 3)","[(15, 4, 0), (15, 3, 0), (14, 3, 0), (13, 3, 0), (13, 3, 1), (12, 3, 1), (12, 3, 2), (11, 3, 2), (10, 3, 2), (10, 4, 2), (10, 5, 2), (10, 6, 2), (10, 7, 2), (10, 8, 2), (10, 9, 2), (10, 10, 2), (10, 11, 2), (10, 11, 1), (10, 11, 0)]"
"(4, 5)","[(15, 11, 0), (15, 10, 0), (15, 10, 1), (14, 10, 1), (13, 10, 1), (13, 11, 1), (12, 11, 1), (11, 11, 1), (11, 10, 1), (10, 10, 1), (9, 10, 1), (8, 10, 1), (7, 10, 1), (6, 10, 1), (5, 10, 1), (4, 10, 1), (4, 10, 0), (3, 10, 0)]"
"(8, 10)","[(12, 9, 0), (13, 9, 0), (13, 8, 0), (13, 7, 0), (13, 7, 1), (13, 7, 2), (12, 7, 2), (11, 7, 2), (11, 8, 2), (11, 8, 1), (10, 8, 1), (9, 8, 1), (9, 7, 1), (8, 7, 1), (7, 7, 1), (6, 7, 1), (5, 7, 1), (5, 7, 0), (6, 7, 0), (7, 7, 0), (8, 7, 0), (9, 7, 0), (10, 7, 0), (10, 7, 1), (10, 6, 1), (9, 6, 1), (8, 6, 1), (7, 6, 1), (6, 6, 1), (5, 6, 1), (5, 6, 2), (4, 6, 2), (4, 7, 2), (4, 7, 3), (3, 7, 3), (2, 7, 3), (2, 7, 2), (2, 7, 1), (2, 7, 0), (1, 7, 0)]"
"(24, 9)","[(1, 1, 0), (1, 2, 0), (0, 2, 0), (0, 3, 0), (0, 4, 0), (0, 5, 0), (0, 6, 0), (0, 7, 0), (0, 8, 0), (1, 8, 0), (2, 8, 0), (2, 8, 1), (3, 8, 1), (3, 9, 1), (4, 9, 1), (5, 9, 1), (6, 9, 1), (7, 9, 1), (8, 9, 1), (9, 9, 1), (9, 8, 1), (9, 8, 0), (8, 8, 0)]"
"(4, 1)","[(15, 11, 0), (15, 12, 0), (14, 12, 0), (13, 12, 0), (12, 12, 0), (11, 12, 0), (10, 12, 0), (9, 12, 0), (8, 12, 0), (7, 12, 0), (6, 12, 0), (5, 12, 0), (4, 12, 0), (3, 12, 0), (2, 12, 0), (1, 12, 0), (1, 11, 0)]"
"(10, 14)","[(1, 7, 0), (1, 6, 0), (0, 6, 0), (0, 6, 1), (0, 5, 1), (0, 5, 2), (1, 5, 2), (2, 5, 2), (2, 5, 3), (3, 5, 3), (4, 5, 3), (5, 5, 3), (6, 5, 3), (7, 5, 3), (8, 5, 3), (9, 5, 3), (10, 5, 3), (11, 5, 3), (12, 5, 3), (13, 5, 3), (13, 5, 2), (13, 5, 1), (13, 5, 0)]"
"(21, 20)","[(1, 3, 0), (1, 3, 1), (2, 3, 1), (2, 2, 1), (3, 2, 1), (4, 2, 1), (4, 3, 1), (5, 3, 1), (6, 3, 1), (7, 3, 1), (7, 2, 1), (8, 2, 1), (9, 2, 1), (9, 1, 1), (9, 1, 0), (10, 1, 0), (11, 1, 0), (11, 0, 0), (12, 0, 0), (13, 0, 0), (13, 1, 0), (13, 2, 0), (14, 2, 0), (15, 2, 0), (16, 2, 0), (16, 3, 0), (16, 4, 0), (15, 4, 0)]"
"(16, 6)","[(2, 4, 0), (2, 4, 1), (2, 5, 1), (2, 6, 1), (3, 6, 1), (3, 7, 1), (3, 8, 1), (4, 8, 1), (4, 8, 2), (4, 9, 2), (4, 10, 2), (5, 10, 2), (6, 10, 2), (7, 10, 2), (8, 10, 2), (9, 10, 2), (9, 11, 2), (9, 11, 1), (9, 11, 0), (9, 10, 0), (10, 10, 0), (11, 10, 0), (12, 10, 0)]"
"(3, 21)","[(10, 11, 0), (9, 11, 0), (8, 11, 0), (7, 11, 0), (7, 10, 0), (6, 10, 0), (5, 10, 0), (4, 10, 0), (4, 9, 0), (3, 9, 0), (2, 9, 0), (1, 9, 0), (1, 9, 1), (1, 8, 1), (1, 8, 2), (1, 7, 2), (1, 6, 2), (1, 6, 3), (1, 5, 3), (1, 4, 3), (1, 3, 3), (1, 3, 2), (2, 3, 2), (2, 3, 1), (2, 3, 0), (1, 3, 0)]"
"(4, 16)","[(15, 11, 0), (16, 11, 0), (16, 10, 0), (16, 9, 0), (15, 9, 0), (15, 8, 0), (15, 7, 0), (15, 6, 0), (15, 6, 1), (14, 6, 1), (14, 5, 1), (14, 5, 2), (14, 4, 2), (13, 4, 2), (12, 4, 2), (11, 4, 2), (11, 4, 3), (10, 4, 3), (9, 4, 3), (8, 4, 3), (7, 4, 3), (6, 4, 3), (5, 4, 3), (4, 4, 3), (3, 4, 3), (2, 4, 3), (2, 4, 2), (1, 4, 2), (0, 4, 2), (0, 3, 2), (1, 3, 2), (1, 3, 1), (1, 4, 1), (1, 4, 0), (2, 4, 0)]"
"(4, 24)","[(15, 11, 0), (15, 11, 1), (14, 11, 1), (14, 12, 1), (13, 12, 1), (12, 12, 1), (11, 12, 1), (10, 12, 1), (9, 12, 1), (8, 12, 1), (7, 12, 1), (6, 12, 1), (5, 12, 1), (4, 12, 1), (3, 12, 1), (2, 12, 1), (1, 12, 1), (1, 11, 1), (1, 10, 1), (1, 10, 0), (0, 10, 0), (0, 9, 0), (0, 9, 1), (0, 8, 1), (0, 7, 1), (0, 7, 2), (0, 6, 2), (0, 6, 3), (0, 5, 3), (0, 4, 3), (0, 3, 3), (0, 2, 3), (0, 1, 3), (1, 1, 3), (1, 1, 2), (1, 1, 1), (1, 1, 0)]"
chip_1_net_4,1915
